bfenr,grundindeks,antalgrunde,grundid,husnummerid
6000845,1,1,b5a8795e-7a52-4c5b-b1bd-dc4e950bd4cd,0a3f507a-4e37-32b8-e044-0003ba298018
8435136,1,1,929493a2-ad3e-483a-8a0e-1a4176b0af50,0a3f507a-6847-32b8-e044-0003ba298018
6019461,1,1,25546799-8c99-47ae-8c07-3ad78b6ffd24,0a3f507a-4fba-32b8-e044-0003ba298018
8881983,1,1,51b73194-7430-4ab7-8926-daa4a11b2abb,0a3f507a-b409-32b8-e044-0003ba298018
6004189,1,1,f63a454e-2a2a-44c0-853d-368efb6d899a,0a3f507a-51f6-32b8-e044-0003ba298018
6002375,1,1,15badbf2-659b-4b70-b51a-826e0d5a36d2,0a3f507a-5251-32b8-e044-0003ba298018
6030804,1,1,fc44aabe-c860-4f8d-8803-b4d6a55f6da8,0a3f507a-530a-32b8-e044-0003ba298018
6013598,1,1,2d723018-e07c-4143-93bc-79f34077fcaa,0a3f507a-5358-32b8-e044-0003ba298018
6002532,1,1,83a8a97b-fec4-433e-a3ce-ce82456528c2,0a3f507a-4c82-32b8-e044-0003ba298018
6024246,1,1,6c918325-c197-41bb-b961-9b5ef4bb5050,0a3f507a-4d61-32b8-e044-0003ba298018
6000839,1,1,09ff152b-5aa6-4a61-982d-465bd4bec2bc,0a3f507a-4e28-32b8-e044-0003ba298018
6000857,1,1,b5e0a703-1eec-4523-94b0-4e16e0730732,0a3f507a-4e6e-32b8-e044-0003ba298018
6004598,1,1,5ccdb173-1bf8-4203-9fa3-642f6ddbc66e,0a3f507a-4f9a-32b8-e044-0003ba298018
6006817,1,1,af761854-d88a-4dea-ba7d-dfca22149cce,0a3f507a-5005-32b8-e044-0003ba298018
6004174,1,1,3154f91d-8def-4c8c-a8d3-69694da3aec4,0a3f507a-51ec-32b8-e044-0003ba298018
6032018,1,1,ad732ea2-74bf-43d9-a575-2d973bbe853d,0a3f507a-527f-32b8-e044-0003ba298018
6013601,1,1,ba7c9300-d0ff-45e6-819e-d5666077868f,0a3f507a-5355-32b8-e044-0003ba298018
6003987,1,1,f4a59a8f-2b85-47e0-93c7-cf1a024d9762,0a3f507a-53e5-32b8-e044-0003ba298018
6031759,1,1,d1a30e5e-e99c-4954-b799-c1f43a60cb34,0a3f507a-5503-32b8-e044-0003ba298018
6026386,1,1,7bcee124-3126-474d-a506-0f2a1f3682c4,0a3f507a-55db-32b8-e044-0003ba298018
6004007,1,1,cf68ec4a-67e0-4b54-8825-3f0792b55d4e,0a3f507a-53ea-32b8-e044-0003ba298018
6014056,1,1,b975f766-d064-4980-bcec-e5aa4ff167c9,0a3f507a-546a-32b8-e044-0003ba298018
6024615,1,1,3b6fe0d0-bde7-4e3c-9e83-e2ee7c0f0668,0a3f507a-56fc-32b8-e044-0003ba298018
6016524,1,1,6d1cab02-bc41-406a-9005-fc037bf8f6a1,0a3f507a-579c-32b8-e044-0003ba298018
6011764,2,1,2973207c-72f9-49ac-8abc-a9878906ab8c,0a3f507a-57f4-32b8-e044-0003ba298018
6011764,2,2,df4f15df-d9d3-450f-8b61-a9956d42c980,0a3f507a-57f4-32b8-e044-0003ba298018
6004536,1,1,7113c272-b417-4dbf-9636-6b116faf10df,0a3f507b-136a-32b8-e044-0003ba298018
6033293,1,1,bc81d06c-f51d-4134-ac1e-d4155e3e4021,0a3f507a-58f8-32b8-e044-0003ba298018
6014162,2,1,384eba15-af5e-44e1-a145-1a96b6eb0430,0a3f507a-5987-32b8-e044-0003ba298018
6014162,2,2,c71566bf-f2ef-4286-a23c-0456a9481eb9,0a3f507a-5987-32b8-e044-0003ba298018
6026951,1,1,dc337f39-b264-4cd9-9c2c-8060454bf582,0a3f507a-59a6-32b8-e044-0003ba298018
6026895,1,1,f7d473fe-695f-4072-a014-03b45aca2130,0a3f507a-59bb-32b8-e044-0003ba298018
6004928,1,1,ce7e717b-b4c7-432a-a391-c394524664e7,0a3f507a-5a46-32b8-e044-0003ba298018
8237609,1,1,d927a5b0-1ef5-45ae-98c4-9e06eb2d8e98,0a3f507a-a4b6-32b8-e044-0003ba298018
6017491,1,1,255ee7da-1c5e-4fa8-bd08-9c14aa4aa91d,0a3f507a-4077-32b8-e044-0003ba298018
6006681,1,1,712bb33b-4c89-4c5b-a19a-6cde73b52392,0a3f507a-4106-32b8-e044-0003ba298018
6018314,1,1,6ff0b446-8f66-4672-92c0-a4b93f58eb09,0a3f507a-4169-32b8-e044-0003ba298018
6031130,1,1,c7d3ae3d-dc7a-444f-b250-47f0b6b4a53a,0a3f507a-420b-32b8-e044-0003ba298018
6012537,1,1,0a8038ee-d744-425a-a677-ed5184b71ed6,0a3f507a-42c8-32b8-e044-0003ba298018
6019895,1,1,861ac30e-47cb-4f88-af84-bb54659c2ae4,0a3f507a-43c3-32b8-e044-0003ba298018
6020287,1,1,3d5a7f32-025d-44d4-9414-6159b8ba7c31,0a3f507a-43d3-32b8-e044-0003ba298018
6015083,3,1,35cef5d3-be9c-4717-bf24-4a253452ac95,0a3f507a-446c-32b8-e044-0003ba298018
6015083,3,2,86757c17-0df0-4599-8c0d-7034c0f54769,0a3f507a-446c-32b8-e044-0003ba298018
6015083,3,3,9215ee0c-3e36-424b-8aa0-fa9ea24176e4,0a3f507a-446c-32b8-e044-0003ba298018
6028719,1,1,f8318240-1c25-4a97-b4b5-71631c2e803f,0a3f507a-661c-32b8-e044-0003ba298018
6016658,1,1,2ab77b0c-0307-4c1e-943e-5018e2c45f32,0a3f507a-4556-32b8-e044-0003ba298018
6026408,1,1,750efd28-07e3-4b90-87d6-a47b9754d1e4,0a3f507a-55e6-32b8-e044-0003ba298018
6024651,1,1,987158ba-81c0-4257-bfc9-a4d3864a4734,0a3f507a-5728-32b8-e044-0003ba298018
6011776,1,1,f4cc08ae-ebc2-4030-8113-d81b77bbc07c,0a3f507a-5803-32b8-e044-0003ba298018
6031063,1,1,ae3dc181-ab7a-42a9-9ae8-66ead3c06c7f,0a3f507a-5901-32b8-e044-0003ba298018
6014514,2,1,634ce991-6548-4794-9c33-942023e9ab94,0a3f507a-5977-32b8-e044-0003ba298018
