bfenr,grundindeks,antalgrunde,grundid,husnummerid,antalbygninger,bygningnr,bygningsid
6014706,2,1,3a8d9069-2eab-484a-9220-78a4aae03520,0a3f507a-3c05-32b8-e044-0003ba298018,1,1,744fec6b-ece5-4ded-ac19-61776f279b68
6014706,2,2,4fc5863e-f3e0-47ca-a8e8-64f5b7005f32,0a3f507a-3c05-32b8-e044-0003ba298018,1,1,744fec6b-ece5-4ded-ac19-61776f279b68
6033578,1,1,cdad265a-133e-4adc-95b5-81d87f9f24cc,0a3f507a-3c30-32b8-e044-0003ba298018,1,1,bdae52b2-698a-497e-91c5-a5a77e7629e3
6032862,1,1,3f9eebf9-9f14-4238-aba2-96c163c069a6,0a3f507a-3ccd-32b8-e044-0003ba298018,1,1,2b2c7b86-4ca4-452b-b9cb-a175d0dfe18b
6017260,1,1,3f80a3a1-4ddc-48e5-9f92-433f241cdf93,0a3f507a-3d15-32b8-e044-0003ba298018,1,1,ee58c971-8bd8-4143-bb56-410315548966
6017344,1,1,c478fa63-c80f-448a-8bd4-bc2872976afa,0a3f507a-3dc6-32b8-e044-0003ba298018,1,1,b59cd2cc-b048-46b8-8b36-96d7e03f7a53
6003809,1,1,59c45083-c1b4-4845-bef9-258ba9d8f7e4,0a3f507a-3f09-32b8-e044-0003ba298018,1,1,c33278c1-9588-4d48-8ae2-94c148ac0d40
6016929,2,1,050063b7-f306-44fe-94c8-fde141fdc10e,0a3f507a-3f54-32b8-e044-0003ba298018,1,1,8b1afb58-838c-4c5a-a2fa-97d6d964ded4
6016929,2,2,7bf660b0-7a6b-4291-a3aa-9a6e76af2395,0a3f507a-3f54-32b8-e044-0003ba298018,1,1,8b1afb58-838c-4c5a-a2fa-97d6d964ded4
6024950,1,1,acd4a7d2-dd2a-4d85-8ddd-f9efffc0cc12,0a3f507a-3da4-32b8-e044-0003ba298018,1,1,cd6f69c8-52c0-4c2e-a92a-45c914f43990
6020143,1,1,ce57b731-e32d-410f-8d6d-aed0870ad97f,0a3f507a-3ee0-32b8-e044-0003ba298018,1,1,a70caff3-f0a9-46db-ab19-3786229e454c
6003878,1,1,3e1eec69-dda7-4200-b703-4e5bed64f3b0,0a3f507a-3f10-32b8-e044-0003ba298018,1,1,a546600d-4cae-48cd-add2-c8808bc4e8b8
8197970,1,1,00e836e6-b214-4492-84ae-e1422845cd33,0a3f507a-b3e7-32b8-e044-0003ba298018,1,1,7426a3b4-81f3-4336-b7ec-72590da8647b
6017443,1,1,00ac719f-f067-4038-a3bd-e92fb536e208,0a3f507a-404c-32b8-e044-0003ba298018,1,1,60d74698-91d0-48d4-85ac-e1672e8e780f
6014119,1,1,731a85af-9560-476a-ab02-91b96a401431,0a3f507a-40a0-32b8-e044-0003ba298018,1,1,a83cb6f1-81c1-4302-b2c5-4046cee94ab6
6010793,1,1,7ce35b8c-a1f2-4d27-b2a0-4b283f79171f,0a3f507a-40c9-32b8-e044-0003ba298018,1,1,fb55c1c1-829d-4e25-8716-167a8fec069a
6020535,1,1,da9f4b5a-43c0-4669-8ca1-55b162262dbd,0a3f507a-4186-32b8-e044-0003ba298018,1,1,7a20377e-ee7b-43d2-b434-b9d1c0dfd923
6010329,1,1,6b877f2c-8a4a-4dcf-bcbc-b1076625f6bd,0a3f507a-4249-32b8-e044-0003ba298018,1,1,824b1cd5-89d6-4fad-b881-1816ee4db912
6012536,1,1,ed1dc50e-6344-49a2-abdd-c172197a8825,0a3f507a-42ca-32b8-e044-0003ba298018,1,1,a8a62a32-6c25-4f93-ad73-92c40dcfef4b
6002332,1,1,c7ea4abe-87a4-4ff7-b852-9fe99d17245a,0a3f507a-4337-32b8-e044-0003ba298018,1,1,84bd2f04-d5e2-4985-af79-c8593ee15fb4
